doc_id,sent_id,event_type,trigger_word,agent,patient,time_expr,sentence,event_id,trigger_lemma,trigger_token,agent_key,patient_key,time_key,time_prep,location,location_key,negated,confidence
wn-0002,13,launch,launch,,,December,The launch was delayed three times in December due to weather problems and technical glitches.,wn-0002:13:353,launch,353,,,DATE:December,,,,True,0.55
wn-0002,13,delay,delayed,,The launch,December,The launch was delayed three times in December due to weather problems and technical glitches.,wn-0002:13:355,delay,355,,,DATE:December,in,,,False,0.65
wn-0002,13,failure,glitches,,,December,The launch was delayed three times in December due to weather problems and technical glitches.,wn-0002:13:366,glitch,366,,,DATE:December,,,,False,0.55
wn-0002,14,launch,launch,,Defense Support Program missile,this August,The Delta IV Heavy is scheduled to carry the final Defense Support Program missile launch detection satellite to orbit this August.,wn-0002:14:383,launch,383,,,DATE:this August,,,,False,0.6
wn-0002,14,discovery,detection,,Defense Support Program missile launch,this August,The Delta IV Heavy is scheduled to carry the final Defense Support Program missile launch detection satellite to orbit this August.,wn-0002:14:384,detection,384,,,DATE:this August,,,,False,0.6
wn-0002,15,launch,launch,,,December 2005,A National Reconnaissance Office classified payload is set to be aboard the second operational launch scheduled for December 2005.,wn-0002:15:405,launch,405,,,DATE:December 2005,,,,False,0.55
wn-0003,2,discovery,found,,a narrow ridge,,"Now a narrow ridge of massive proportions, 20 km high and 1,300 km long, has been found around the equator of the moon.",wn-0003:2:65,find,65,,,,,,,False,0.6
wn-0003,5,flyby,fly,Cassini,Iapetus,September 2007,Cassini will next fly by Iapetus in September 2007.,wn-0003:5:102,fly,102,SPACECRAFT:Cassini,CELESTIAL:Iapetus,DATE:September 2007,in,,,False,0.9
wn-0003,8,discovery,discovered,Cassini,the moon,1672,Jean-Dominque Cassini discovered the moon in 1672; it was also Cassini who determined the color difference on Iapetus.,wn-0003:8:162,discover,162,SPACECRAFT:Cassini,,DATE:1672,in,,,False,0.75
wn-0004,0,failure,crash,,,"January 12, 2005","A spacecraft designed to chase a comet and crash onto its surface is scheduled for a launch on January 12, 2005 and 1:48 p.m. EST.",wn-0004:0:8,crash,8,,,"DATE:January 12, 2005",,,,False,0.55
wn-0004,0,launch,launch,,,"January 12, 2005","A spacecraft designed to chase a comet and crash onto its surface is scheduled for a launch on January 12, 2005 and 1:48 p.m. EST.",wn-0004:0:16,launch,16,,,"DATE:January 12, 2005",on,,,False,0.55
wn-0004,3,failure,crash,,the comet,Twenty-four hours,"Twenty-four hours after separation the comet will crash into the slower-moving impactor, creating a crater 100 meters wide.",wn-0004:3:93,crash,93,,,TIME:Twenty-four hours,,,,False,0.65
wn-0004,5,failure,destroyed,,that,,"The event will be watched by many instruments: there are two cameras on the part of the probe that is not getting destroyed, a camera on the impactor will broadcast almost until the crash, and telescopes around Earth will also be aimed at the point of the impact.",wn-0004:5:157,destroy,157,,,,,,,True,0.6
wn-0004,5,failure,crash,,,,"The event will be watched by many instruments: there are two cameras on the part of the probe that is not getting destroyed, a camera on the impactor will broadcast almost until the crash, and telescopes around Earth will also be aimed at the point of the impact.",wn-0004:5:169,crash,169,,,,,,,False,0.5
wn-0004,6,failure,crash,,,,Scientists hope that by studying the depth of the crater and the material ejected from the comet in the crash they will get a better idea of the core's composition.,wn-0004:6:205,crash,205,,,,,,,False,0.5
wn-0004,9,failure,destroy,the goal,the comet,,"Unlike the movie, however, the goal of this mission is not to destroy the comet.",wn-0004:9:269,destroy,269,,,,,,,False,0.6
wn-0004,11,launch,launched,,The probe,,The probe will be launched aboard a Delta II rocket from Cape Canaveral in Florida.,wn-0004:11:315,launch,315,,,,,Cape Canaveral,FAC:Cape Canaveral,False,0.6
wn-0005,0,landing,descent,,Huygens,,Huygens probe descent to Titan.,wn-0005:0:2,descent,2,,SPACECRAFT:Huygens,,,,,False,0.7
wn-0005,4,landing,descent,,its,the next 2.5 hours,"For the next 2.5 hours, Huygens will slow its descent and begin data transmission from on-board scientific packages to the Cassini Orbiter for relay to Earth.",wn-0005:4:61,descent,61,,,TIME:next 2.5 hours,,,,False,0.6
wn-0005,5,landing,touch down,,It,approximately 11:30 a.m.,It will touch down on the Titan surface at approximately 11:30 a.m.,wn-0005:5:83,touch,83,,,TIME:approximately 11:30 a.m.,at,,,False,0.65
wn-0005,7,landing,descent,,,three to 30 minutes,"The probe will continue data transmission for three to 30 minutes, providing it survives the descent and landing.",wn-0005:7:111,descent,111,,,TIME:three to 30 minutes,,,,False,0.55
wn-0005,7,landing,landing,,,three to 30 minutes,"The probe will continue data transmission for three to 30 minutes, providing it survives the descent and landing.",wn-0005:7:113,landing,113,,,TIME:three to 30 minutes,,,,False,0.55
wn-0005,8,launch,launched,NASA,Cassini-Huygens,"October 15, 1997","NASA launched Cassini-Huygens, the largest interplanetary space craft ever built, on October 15, 1997.",wn-0005:8:117,launch,117,ORG:NASA,SPACECRAFT:Cassini-Huygens,"DATE:October 15, 1997",on,,,False,0.9
wn-0005,15,discovery,discovered,who,Titan,1655,"The probe was named after Dutch astronomer Christiaan Huygens, who discovered Titan in 1655.",wn-0005:15:262,discover,262,,CELESTIAL:Titan,DATE:1655,in,,,False,0.8
wn-0005,16,discovery,discovered,who,other moons,,"The Cassini orbiter was named for Jean-Dominique Cassini, who discovered other moons of Saturn and the gap between Saturn's rings known as the Cassini Division.",wn-0005:16:280,discover,280,,,,,,,False,0.6
wn-0006,0,landing,landed,,it,11:38 a.m.,"Huygens, the European built Titan exploration probe, ended its seven-year voyage today when it landed on the surface of the second largest moon in the solar system at 11:38 a.m.",wn-0006:0:18,land,18,,,TIME:11:38 a.m.,at,,,False,0.65
wn-0006,2,failure,failures,,,17 years ago,"The probe, which the European Space Agency (ESA) began developing 17 years ago, has worked well with only minor system failures.",wn-0006:2:60,failure,60,,,DATE:17 years ago,,,,False,0.55
wn-0006,7,landing,descent,,its,,Huygens broadcast data to its Cassini mothership (the US probe which carried Huygens to Titan) throughout its descent and then from the surface.,wn-0006:7:172,descent,172,,,,,,,False,0.55
